,ftp_packet,mysql_packet,rpc_packet,ssh_packet,telnet_packet
0,TA0001 T1018 T1018.000,TA0002 T1059 T1059.004,[TA0000] [T0000] [T0000.000],TA0001 T1190 T1059.004,TA0001 T1190 T1190.000
1,TA0001 T1190 T1046.000,TA0006 T1003 T1003.005,[TA0001] [T1133] [T1133.000],TA0002 T1059 T1059.004,TA0001 T1566 T1566.003
2,TA0001 T1190 T1190.000,TA0006 T1110 T1110.001,[TA0006] [T1110] [T1110.000],TA0002 T1087 T1059.004,TA0002 T1059 T1059.004
3,TA0002 T1059 T1059.004,,[TA0007] [T1007] [T1007.000],TA0006 T1110 T1110.000,TA0006 T1110 T1110.001
4,TA0006 T1110 T1110.000,,[TA0007] [T1016] [T1016.001],TA0006 T1110 T1110.001,TA0006 T1212 T1046.000
5,TA0006 T1212 T1212.000,,[TA0007] [T1046] [T1046.000],TA0007 T1087 T1087.001,TA0007 T1518 T1518.000
6,TA0011 T1071 T1071.002,,[TA0007] [T1087] [T1087.004],TA0007 T1120 T1120.000,TA0007 T1592 T1592.002
7,TA0011 T1190 T1005.000,,[TA0007] [T1580] [T1580.000],,TA0040 T1105 T1105.000
8,,,[TA0011] [T1071] [T1071.001],,TA0040 T1105 T1222.002
9,,,[TA0043] T1590 [T1590.000],,
